,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,b*****1,5,2021-11-01 10:27,,"Gói hàng đẹp, dùng được 4-5 hôm môi mềm mịn,
Dầu gội đầu mua 2 lần dùng giảm gàu đáng kể",,6,1,1,1.0
1,legiamanh222,5,2023-03-27 13:22,,"Lợi ích: duong moi
Mẹo: bôi khi ngủ
Hương thơm: bạc hà
Sáp mềm tan , bôi lên môi được cấp ẩm ngay , mùi bạc hà thơm và mát , đáng thử",,1,1,0,3.5381614e-05
2,linhdark.vn,5,2023-02-06 13:34,,"Công dụng: dưỡng môi
Mùi hương: thơm nhẹ
Dành cho da: khô
Mình đã dùng hết 2 thỏi, giờ phải mua thêm để ủ qua vài tháng. Dùng tốn lắm nha, nhưng hiệu quả tức thì.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,2.750849e-11
3,t*****g,5,2021-11-24 09:12,,"Son dùng siêu ok nhé, dưỡng môi mềm mịn, dùng thích lắm. Tuy nhiên chất son như trong hình, hơi giống mỡ 1 chút. Thoa lên miệng thì khá là bóng, vậy nên sẽ phù hợp để thoa vào buổi tối trc khi ngủ hay là khi k có nhu cầu thoa đè son khác lên. Mng cực nedn thử son này nhé, k có gì để chê cả luôn.",,3,1,0,7.197581e-08
4,thuynguyenck.,5,2022-10-03 15:43,,"Công dụng: dưỡng ẩm và mềm môi
Mùi hương: không mùi
Dành cho da: môi
Giao hàng nhanh
Đóng gói lớp bảo vệ sản phẩm bằng lớp chống sốc là đạt điểm tuyệt đối luôn.
Đã thử và hài lòng về sản phẩm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,4.5506643e-09
5,mongggg_tuyen,5,2021-07-15 17:01,,"do đặt trong mùa dịch nên giao hàng có thể chậm hơn 1,2 nhưng thông cảm được ạ
về sản phầm mình thấy nó có mùi dễ chịu, chỉ cầm chấm nhẹ 1 miếng thôi là đủ cho cả môi luôn. rất mềm môi nha, nên mua ạ.",,2,1,0,7.3732417e-07
6,chibi1013,5,2022-04-06 12:40,,"Dưỡng môi rất mềm, hơi bóng. Yên tâm về sp của Metho",,1,2,0,0.0024833775
7,t*****5,5,2021-12-14 07:20,,"Giao hàng chỉ trong 1 ngày. Shop phục vụ tốt, mình cực thích doraemon luôn. Son dưỡng hồng môi tự nhiên là mềm. Nc mình sẽ ủng hộ dài lâu",,0,2,1,0.8847321
8,rimyeong,5,2023-03-28 13:49,,"Han So Hee đã thành công chiếm trọn trái tim của ""crush"" Song Hye Kyo 🤣",,0,2,0,4.0452943e-07
9,tng_lynghgg,5,2023-04-04 09:54,,"Bôi mềm môi, dưỡng hơi the the mát bạc hà, giao hàng nhanh giá rẻ",,0,2,0,3.9447504e-10
