,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,m*****3,5,2023-06-02 14:22,,"Bao bì: ko có tem, nhìn hơi sơ sài
Chưa dùng nên chưa biết, sữa lỏng lắm, thoa lên mỏng nhẹ nhma mỏng vậy ko biết hiệu quả chống nắng có oke ko? Thôi thì vì fan nhà acnes nên dùng thử",,0,1,0,1.7644254e-08
1,thuongvu2205,5,2023-05-27 18:33,,GAMTNLR quạt mạnh có 4 chế độ gió đùng đưojc lâu lắm ... Nhé nhé,,0,1,1,0.9998018
2,d*****7,5,2023-05-24 19:37,,"Giao hàng nhanh, mk đặt hôm trc mà 1 2 hôm sau nhận đc rùi,đóng gói cẩn thận ,đủ số lượng, chưa dùng thử nên chưa bt,nếu OK sẽ quay lại ủng hộ shop",,0,1,1,0.9999974
3,t*****3,5,2023-05-24 16:54,,"Hàng chất lượng lắm. Đẹp, giao đủ số lượng. Không chê ở đây được.",,0,1,1,0.9904068
4,7*****c,5,2023-05-18 09:36,,"Bao bì: ko có tem chống hàng giả, màng seal làm mình ko yên tâm lắm
Làm đẹp: nâng tone nhẹ
Lợi ích: ko làm bí da, thấm nhanh, ko mốc da
Kcn dạng sữa rất mỏng nhẹ, thấm nhanh, ko gây bí da, nâng tone nhẹ mà ko làm mốc da 👍🏻",,0,1,0,0.013402341
5,ngocbichcute0905,5,2023-05-10 00:18,,"Mẹo: dành cho da dầu mụn
Làm đẹp: chống nắng
Dùng chống nắng này khá giống với skinaqua nắp vàng 25g á dùng oki có mùi tràm trà nhẹ",,2,1,0,4.686303e-10
6,bambookidshoes,5,2023-04-28 14:03,,"Làm đẹp: chua bik
Mẹo: chua bik
Bao bì: tot
Cần thời gian mới bik được sử dụng hiệu quả hay không",,1,2,0,0.11941038
8,phuong_phong_phuc,5,2023-04-05 10:04,,"Shop giao hàng nhanh, đóng gói cẩn thận, chưa dùng thử nên chưa biết thế nào, hy vọng tốt",,2,2,0,1.0098285e-12
9,bluecrystal121,5,2023-04-03 19:52,,"Hương thơm: Giống mùi tường ẩm :))
Kinh nghiệm sử dụng: ko
Bao bì: chắc chắn
Màng lọc lai: Octinoxate, Tinosorb S, ZnO, TiO2
Chất sữa lỏng giống Skin Aqua nắp vàng, cái mùi hơi ghê xíu nhưng mà thấm xong nó cũng bay. Kcn mỏng nhẹ, ko dính, kiềm dầu ổn, da mình tone 23 thấy nâng tone tự nhiên lắm và cũng ko bị vón nha. Mình thấy sp hợp da thường đến dầu, chắc ko đủ cho da treat nhiều đâu. 8.5/10",,24,2,1,0.99933463
10,h*****a,5,2023-05-12 20:34,,"Làm đẹp: tẩy trang
Hương thơm: siêu thơm
Bao bì: đẹp, sạch sẽ
Tiện lợi. Tẩy trang được kem chống nắng còn makeup thì không biết. Nồng mùi cồn với hương liệu lắm ai da nhạy cảm không nên sử dụng",,0,2,0,2.9191224e-08
12,lannguyetvan,5,2023-05-18 21:45,,"Bao bì: giống hình
Hương thơm: dịu nhẹ
Đóng gói chắc chắn",,0,3,,
37,n*****y,4,2023-05-05 20:36,,"Hương thơm: nghe mùi kì
OK cancel để có một cái tên được mơ mt mà còn cho phép k có tiền để tăng thêm sức đề",,0,1,,
