,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,dungnhumy,5,2022-11-26 20:14,,"Mùi hương: không thơm không hôi
Để xài coi mới biết giờ thì cho 5 sao vì giao hàng mau còn được tặng cuốn sổ nữa xài xong sẽ đánh giá tiếp cho mọi người biết","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,1.3730342e-10
1,l*****u,5,2022-10-30 11:03,,"Công dụng: Trị rạn
Mùi hương: ko mùi
Nghe review tốt nên mua dùng thử, mình bầu 3 tháng mới bôi, mong là có tác dụng, nếu tốt sẽ mua thêm.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,0.0007153398
2,s*****4,5,2022-06-27 18:26,,"Công dụng: ngăn rạn da
Mùi hương: bình thường
Hộp bọc cẩn thận, hàng như hình nhé mọi người",,0,1,0,9.692958e-09
3,quachtuyenduy,5,2023-03-31 18:44,,"Làm đẹp: tốt
Hương thơm: bình thường
Bao bì: đẹp
Giao nhanh , không bị bết rít , nên mua nh mọi người",,0,1,1,0.99280715
4,buyiv3vt9i,5,2023-03-25 10:38,,Kem thoa mau thấm mới sử dụng chưa biết thế nào hy vọng sẽ có hiệu quả đóng gói cẩn thận,,0,1,1,1.0
5,_ntl___,5,2023-02-01 00:33,,"Công dụng: giam ran da
Mùi hương: nhe nhàng
Sd sp nhuêuf lần nhưng lần đầu mua của shop chưa sử dụng nên chưa bt mong là k phải hàng nhái 
Xin cảm ơn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,4.1513076e-08
6,hang.nguyen1211,5,2023-01-30 20:16,,"Đóng gói cẩn thận, chất kem lỏng, kem nhanh thấm, mùi rất nhẹ.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",1,2,0,9.865178e-07
7,linhbinho,5,2023-01-08 15:08,,"K mùi chất kem đặc nha, xoa 1 lúc thì thấm, m béo bụng lên nên bị rạn da, mà mới bị là thoa luôn nên cũng mờ mờ, vs đang giảm thêm cân. Còn bị rạn to hơn thì phải sd lâu dài ms biết kết quả. Ncl nên mua","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,2,0,0.06461307
8,h*****1,5,2023-01-08 10:38,,"Công dụng: chống rạn da
Mùi hương: ko
Sản phẩm đóng gói chắc chắn. Đặt 3 hôm nhận được hàng. Date sp còn xa. Hi vọng dùng giảm bớt đc rạn da 🙂 Happy event - anti stretch mark lotion","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.107914284
9,honganh1999,5,2022-12-30 11:45,,"thân kiểu ngoan cố"". Là người mà mồm lúc nào cũng bảo phải đi tìm bồ, nhưng chưa bao giờ chủ động đi tìm, cũng không có crush, càng không","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.007742946
