,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,l*****8,5,2023-04-05 18:37,,Sản phẩm đẹp.  Chất lượng gói hàng tốt.  Giao hàng nhanh. Sẽ ủng hộ,,3,1,1,0.99999976
1,ngcchung944,5,2023-02-23 14:51,,"Công dụng: dưỡng trắng ngừa mụn
Mùi hương: nhẹ
Dành cho da: dầu,mụn
Khá ổn,shipper thân thiện vui vẻ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,1.5815415e-09
2,nguyenminhtien20082004,5,2022-09-10 16:51,,"Đây là lần đầu mình mua sản phẩm này và cũng chưa dùng nên ko đánh giá được. Shop giao hàng nhanh 9/9 đặt, 10/9 có hàng, đóng gói kỹ, nếu hiệu quả mình sẽ tiếp tục ủng hộ shop!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",3,1,1,1.0
3,phuonganh01012002,5,2022-08-15 15:34,,"Cấp ẩm cho da mặt tốt nhưng mk thích loại màu vàng hơn, vì nó chuyên về mụn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,0,0.007483573
4,n*****3,5,2023-01-10 22:28,,"Công dụng: tot
Mùi hương: khong co mui
Dành cho da: ok
Sửa rửa mặt rất ít bọt cảm giác sao sao ak để dùng thêm thời gian nữa sẽ quay lại đánh giá sp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,1,0,5.897897e-10
5,cty.sieu.khang.q11,5,2022-01-22 10:26,,"Hàng mới , date mới 
Shop uy tín , hàng chất lượng 
Sẽ ủng hộ Shop lâu dài",,0,1,1,1.0
6,h*****g,5,2022-10-12 15:26,,"shop giao nhanh, gói hàng kĩ lắm 
shipper thân thiện nữa
tạo bọt nhiều, cảm giác da sáng hơn và bớt mụn hẳn🙈","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,2,0,4.841777e-07
7,maipham_123.com.vn,5,2022-08-29 11:20,,"Dành cho da: mmmmm
Công dụng: mmm
Mùi hương: mmmmm
Lần thứ 2 mua của shop sp quá tốt giá lại rẻ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,2.9640178e-06
8,g*****7,5,2022-09-30 10:30,,"Mùi hương: dịu nhẹ
Giao hàng nhanh , giao đủ hàng . 
Chưa dùng nên chưa đánh giá được 
Video chỉ để nhận xu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,2,0,8.1260515e-07
9,ngothuhuong1989,5,2023-04-02 16:26,,"Kinh nghiệm sử dụng: thường xuyên
Bao bì: đẹp
Làm đẹp: trị mụn
Sản phẩm đúng mô tả, dùng sạch, k khô da",,0,2,0,0.16568425
