,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,vanh.vanh004,5,2022-07-09 08:53,,Hình ảnh và vd mag tính chất nhận xu phù hợp với giá tiền giao hàg nhanh,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,3.816738e-10
1,chuthanhcong19102003,5,2023-03-31 13:19,,Hàng vận chuyển tốt...k bóp méo...giao nhanh chóng...hàng chính hãng,,0,1,1,0.9999454
2,l*****_,5,2023-03-25 11:50,,"Công dụng: ngừa mụn lưng
Phù hợp với loại da: da nhạy cảm, mụn
Mùi hương: chưa xem
Giao hàng nhanh, chưa sd nên chưa biết",,0,1,1,0.99998
3,hoai_bn,5,2023-02-20 22:19,,Đã nhận được hàng. Giao nhanh. Đóng gói cẩn thận. Dùng loại này thích lắm. Trị mụn tốt,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.9999989
4,ketamin16,5,2023-02-21 22:26,,Sản phẩm chưa sử dụng mong là kết quả cao bao bì cẩn thận ship nhanh chóng,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.06751608
5,q*****h,5,2021-10-22 00:25,,"Dịch giã thì chờ hơi lâu chút nhưng bù lại spham chính hãng thì quá là yên tâm, đúng là vừa ngon, bổ, rẻ=))))) *Hình ảnh chỉ mang tính chất nhận xu :v",,1,1,0,6.3569394e-10
6,trang_al,5,2021-11-14 12:03,,Chai nhỏ hơn mình tưởng nữa. Sẽ dùng thử rồi quay lại đánh giá lại sau,,0,2,1,0.8080901
7,carrot9x,5,2023-04-04 11:30,,"Hình ảnh nhận xu.
Sản phẩm mùi nhẹ, mùi dễ chịu.
Mình bị gàu to, mới gội 2 lần thấy đỡ gàu to hẳn  chỉ còn gàu nhỏ. Còn hết sạch k thì chưa rõ.
Mong sản phẩm trị dk hẳn gàu.",,0,2,0,7.203323e-05
8,cuc04,5,2023-03-27 01:20,,"Lần đầu mua nên chưa đánh giá đc tác dụng của sản phẩm lên da của mình
Cảm giác kết cấu hơi lỏng nhưng mà mịn da, ko bị khô.",,0,2,0,9.126244e-09
9,m*****1,5,2023-02-14 22:50,,Mình dùng tới lọ thứ hai rồi dùng giảm mụn nha mọi người nên mua,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,0.63901764
