,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,lap_trang,5,2022-06-15 13:47,,"Ok tốt phết sạch sẻ thơm tho nhưng k có em nào bu, toàn trai bu",,3,1,1,0.94570315
1,zedzoker,5,2022-11-11 15:06,,"Công dụng: Tắm
Mùi hương: Thơm
Giao hàng khá nhanh, bao bì ổn. Giá phải chăng, hương thơm ba mình rất thích. Có tặng kèm kem rửa mặt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,7.1136413e-13
2,habushop.24,5,2023-04-05 22:56,,"Giao hàng nhanh, bọc gói cẩn thận, mua đợt sale áp mã nên mua được giá rẻ, sẽ tiếp tục ủng hộ shopee",,0,1,1,1.0
3,phuongdainhan,5,2023-03-19 08:33,,"Chất lượng tốt, giá rẻ, giao hàng nhanh. Săn sale thấy rẻ hơn siêu thị nên mua","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,1,0,0.003711817
4,giangtiennguyenyeu,5,2023-02-24 18:58,,"Hàng giao nhanh, dùng nếu oke sau mình sẽ tiếp tục đặt của shop","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.04585852
5,giang_miuu,5,2023-01-05 08:10,,"Đã nhận đủ hàng, ny chưa dùng nên chưa có cảm nhận. Nếu ok sẽ ủng hộ tiếp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,2.799241e-07
6,t*****5,5,2023-01-07 11:17,,"Công dụng: lam sach
Mùi hương: thơm
Đóng gói cẩn thận , giao hàng nhanh , nên mua nha mn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,4.38087e-06
7,junxtom28,5,2022-12-19 11:46,,"Công dụng: s
Mùi hương: q
Sử dụng biểu tượng chỉnh sửa để ghim, thêm hoặc xóa đoạn.Nhấn vào một đoạn để dán vào hộp văn bản.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.0004023197
8,p*****8,5,2023-01-06 12:45,,"Công dụng: sữa tắm sạch sâu
Mùi hương: nam tính
Giao hàng khá nhanh, của hãng Rohto Mentholatum là quá yên tâm rồi.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,2.3441116e-10
9,a*****7,5,2022-11-19 11:44,,"Công dụng: sang da mặt
Mùi hương: không mùi
Đóng gói lịch sự. Se mua tiếp để ủng thời gian tới.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,0.9016411
