,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,vn5477_40432,5,2022-12-23 00:19,,"Mình đã uống 3 combo rồi. Không biết có cải thiện gì hay không, nhưng mình có cảm giác khá tốt với sản phẩm này. Mong là vẫn có đủ tài chính để theo lâu dài.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",3,1,0,1.3358507e-06
1,zic112294,5,2021-12-21 10:25,,"Mật ong hoa cafe loại 1 giá 180k/ lít
Mật ong hoa cafe loại 2 giá 150k/ lít
Hạt mắc ca 240k/kg
Hạt dẻ cười 320k/kg
Hạt điều rang muối 220k/kg
Hạt điều nguyên vị 240k/kg
Hạt dẻ cười 320/kg
Óc chó đỏ vỏ 180k/kg
Khô gà 180k/kg
Hoa quả sấy 130k/kg
Ngũ cốc 140k/kg
Ca cao 120k/kg
0967261194",,3,1,0,0.00560647
2,t*****0,5,2022-12-15 20:08,,"Công dụng: làm đẹp
Đối tượng sử dụng: phụ nữ cần chăm sóc da
Sản phẩm thơm ngon ,dễ uống…tiện dụng!Giao hàng nhanh chóng!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",8,1,1,0.9947967
3,x*****e,5,2023-01-12 23:39,,"Shop đóng gói cẩn thạn quá, hộp đựng to; bọc nhiều lớp bảo vệ. Cảm ơn shop và chúc shop bán đc nhiều hàng nhé ạ.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",2,1,0,2.0591544e-08
4,vulinhchichi,5,2021-12-19 01:00,,"Shop đóng gói siêu cẩn thận, hàng đến tay nguyên vẹn 🙏🏻🙏🏻🙏🏻 sản phẩm chất lượng tốt, date xa, có mùi thơm nhẹ và vị rất dễ uống. Chất lượng sản phẩm tương xứng với giá thành ❤️❤️❤️",,5,1,0,4.5289643e-13
5,nlsaomai,5,2022-06-21 14:37,,"Hàng giao nhanh, đóng gói cẩn thận, mình nghe nói uống vô da mềm nên mua dùng thử",,1,1,1,0.8054308
6,t*****1,5,2023-02-14 12:16,,"Giao hàng nhanh, đóng gói cẩn thận, có nhận quà tặng hộp đựng trang sức. Uống cũng dễ, cảm ơn shop!","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",1,2,1,0.99897575
7,vn5477_40432,5,2023-02-11 04:56,,"Mua uống thường xuyên, không biết có hiệu quả hay không nhưng cảm nhận ổn nha.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,0.15646425
8,jjolieyeung,5,2021-10-20 12:12,,"Vừa mua bên Tiki 4h xong qua đây thấy giá tốt hơn nữa nên mua tiếp 3h, do đặt lẻ từng hộp nên đang giao từ từ. Nếu đang phân vân tìm loại collagen phù hợp thì nên mua loại này nhé, giá ổn, theo lâu đài đc,hàng chính hãng,mình uống thì thấy ngủ ngon hơn và có cải thiện về bao tử nhé.",,5,2,0,2.7929539e-11
9,thunguyen171091,5,2021-10-30 11:38,,"giao hàng phải gọi là siêu nhanh luôn á, hôm trước hôm sau nhận đc rùi, chưa thử chưa biết ngon ko",,1,2,0,7.486762e-07
