,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,c*****m,5,2022-10-30 13:31,,"Mới nhận được hàng, chưa sử dụng không biết chất lượng như quảng cáo ko? Nhưng mac thấy shop giao hàng khá nhanh chóng và đặc biệt bọc gói rất cẩn thận votes","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,1.2652475e-07
1,dao_hieu,5,2022-10-15 19:31,,Sản phẩm này mình đã mua lộ trình 30 ngày khi shop Rohto bắt đầu mở bán vào tháng 8/2022. Mình đặt hàng thêm hy vọng cải thiện được giấc ngủ. Mình đang bị rlla nên mất ngủ.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",1,1,1,0.9862049
2,iykasez897,5,2022-10-29 12:01,,"Giao hàng nhanh, gói cẩn thận, bao bì đẹp nhưng chưa uống nên chất lượng không biết sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,0.96109706
3,mainguyenyennhi219,5,2023-06-01 20:14,,"Đối tượng sử dụng: phu nu
Công dụng: hỗ trợ sức khoẻ
Mình mua nhiều sp chăm sóc sức khoẻ của rohto. Mong đạt đc kết quả mong muốn. Sẽ ủng hộ tiếp khi dùng hết những sp này hiệu quả",,0,1,1,0.9277087
4,e*****r,5,2023-02-28 10:32,,"Sản phẩm okela rất dễ uống , ngủ ngon , còn đẹp chưa biết vì mới sử dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.33727232
5,ntbinh3007,5,2022-08-31 10:41,,"Giao hàng siêu nhanh, gói hàng cẩn thận, giá quá rẻ kèm theo ưu đãi tốt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,0.071362026
6,ms_leuyen,5,2022-11-06 23:39,,"Mình uống được 3 tháng rồi, ngủ siu ngon, ko nghe chuông điện thoại lun mà, da thì thấy ko có tác dụng nhiều hình và vid chỉ để nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,2,0,5.361093e-06
7,pttp.1991,5,2022-12-07 11:32,,"Công dụng: collagen
Đó h toàn dùng màu hồng thôi, thấy loại màu tím mới ra nên cũng muốn đổi vị xem sao. Từ ngày covid thấy ngủ chập chờn, dùng loại này trộm vía ngủ ngon hơn nha, sẽ dùng thêm để coi hiệu quả về da ntn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.025343357
8,nguyndung989,5,2023-01-11 15:49,,"Vừa muốn phục hồi sức khỏe, vừa muốn da đẹp thì em tổ yến này ok nha. Chị em 30t trở lên nên dùg nha, t uống tới nay là hộp t4 r thấy khỏe ng lắm, da dẻ tươi hơn. Giao hàng nhanh, tv nhiệt tình. Góp ý là nhãn hàng có thể làm chai nhựa ko, mình hay phải đi công tác mà ko biết mang theo kiểu gì","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,1,0.99997413
9,thanhnhan8289,5,2022-12-27 11:08,,"Uống tới h là 4 hộp thảo dược rồi nè, tối nào trc khi ngủ 30p cũng làm 1 lọ hết. Uống xong ngủ 1 mạch tới sáng luôn, ko bị giật mình giữa đêm nữa, với thấy người khỏe, ko bị mệt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.00011055866
10,imalysm.shop,5,2022-12-23 15:12,,"Ngoài dưỡng da thì phải bổ sung dưỡng chất từ bên trong nữa mới ổn. Vậy nên m đã chọn Blossomy Thảo dược sau khi đc giới thiệu, dùng hết 1h thì có ngủ ngon hơn thật, còn da dẻ chờ thêm rồi sẽ review","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,5.1211177e-06
11,thienman2018,5,2023-01-02 22:05,,"Giao hàng và gói hàng ok nè, toàn canh sale mua cho tiết kiệm vì giá niêm yết cao quá. Đã dùng 1 hộp rồi và sẽ mua tiếp để dùng. Sp bổ sung collagen như này phải dùng lâu dài mới có hiệu quả được.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,2,0,0.006760488
12,azzy911,5,2022-12-26 16:38,,"Với hiệu quả săn chắc da túi nghĩ nên uống lâu dài mới rõ nhưng uống vào ăn ngon, ngủ ngon hơn nên chồng kêu dạo này thần sắc rạng rỡ hẳn. Do uống cái này nè, ngủ êm bớt bực bội khó chịu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,4.7202357e-06
13,phungdung610,5,2022-12-23 16:25,,"fan ruột blossmy nè, dùng từ loại màu hồng qua loại màu tím luôn. Mới 25t đầu mà bị mất ngủ nhưng xài dc 3 hộp tím tui thấy dễ ngủ hẳn, không còn bị đau nửa đầu nữa. Đánh giá cao nha","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,0.0017072774
14,vvnthanh787,5,2022-12-23 15:36,,"Mua cho mẹ chồng nên có tìm hiểu kĩ, thấy Blossomy Premium Thảo dược toàn tp thiên nhiên, còn dùng được cho cả người tiểu đường nên khá yên tâm. Nắp chai khó vặn với người già nên cải tiến điểm này","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,2.2095128e-08
15,h*****4,5,2022-12-16 16:59,,"Mua tặng má mi Blossomy Thảo dược, má dùng thấy dễ ngủ hơn, ko bị thức giấc vào ban đêm. T thấy vị hơi nhẫn mà má khen vị thơm ngọt dễ uống. Còn hiệu quả trên da đợi 1 thời gian sẽ review cho mn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,3,0,0.01670602
16,daotran61,5,2022-12-09 11:21,,"Công dụng: collagen làm đẹp da
từ ngày xài Blossomy Thảo dược da dẻ đỡ khô sạm nhiều, tối nào cũng ngủ ngon ko mất ngủ như trước. sẽ mua dùng tiếp. Mong là shop giảm giá nhiều hơn để em bớt đau ví khi mua.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,0,3.1031785e-08
17,susu100115,5,2023-05-24 10:26,,"hàng giao đến tay mình bị vỡ đóng gói k có mút đệm, cẩu thả",Rohto Mentholatum Việt Nam xin chào bạn ạ Rohto rất xin lỗi quý khách về trải nghiệm chưa tốt khi mua sắm tại gian hàng Rohto Mentholatum Việt Nam . Rohto xin phép liên hệ qua hộp thư Chat để có thể hỗ trợ quý khách tốt hơn. Rất mong nhận được phản hồi từ bạn.,0,3,1,1.0
18,drmnguyenle,5,2023-04-22 07:26,,"Mua cho mẹ uống mới 1 chai mà mẹ bảo ngủ ngon hơn. Sp dễ uống, dùng lạnh rất ngon nha. Hình ảnh chỉ mang tính chất nhận xu",,0,4,0,9.102118e-12
40,otsocciu,4,2023-03-07 15:00,,"Công dụng: ok
Đối tượng sử dụng: nữ
Vừa nhận được hàng, sử dụng 1 thời gian sẽ lên feedback ạ.",,0,1,,
