,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,t*****9,5,2023-01-30 12:26,,"Hộp móp, có chống sốc đến cái hộp Yến thì thấy cũ, cái viền keo như đã mở nhiều lần còn dính cả vân tay, tưởng mua chính hãng dịch vụ tốt nhưng tệ quá 🤦‍♀️ THAY ĐỔI CÁCH LÀM DỊCH VỤ TỐT HƠN ĐỂ TRẢI NGHIỆM KHÁCH TỐT NHẤT NHÉ SHOP 👌
Sản phẩm này mình rất kỳ vọng, tối nay sẽ dùng thử luôn, tốt thì sẽ ủng hộ tiếp","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,1,0.8735455
1,c*****m,5,2022-10-30 13:22,,"Mới nhận được hàng, chưa sử dụng không biết chất lượng như quảng cáo ko? Nhưng mac thấy shop giao hàng khá nhanh chóng và đặc biệt bọc gói rất cẩn thận votes","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,1.2653223e-07
2,azureblue97,5,2023-05-13 20:30,,"Thấy chị Hannah quảng cáo nên mua uống thử Vị dưa lưới khá thơm 
Hi vọng có tác dụng nhé ạ",,0,1,0,7.821958e-10
3,m*****4,5,2023-03-20 13:35,,Sr hình klq vì uống hết 10 lọ rồi thấy cũng khoẻ ra k bị nổi mụn như các loại collagen khác,,0,1,0,2.0781229e-06
4,h*****9,5,2023-03-19 15:28,,Chưa thử nên k biết có ngon hay k nữa phải trải nghiệm mới biết được nhé! Cảm ơn rất nhìu ạ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,1,0,2.2657696e-12
5,t_huong89,5,2023-03-27 23:31,,Giao hàng nhanh đóng gói cẩn thận. Collagen dễ uống còn hiệu quả thì dủng một thời gian mới đánh giá được,,0,1,1,0.9999732
6,t_huong89,5,2023-03-26 16:23,,Giao hàng rất nhanh. Đặt ngày 25 thì 26 đã giao rồi. Săn sale nên giá rẻ mà còn được tặng hộp trang điểm rất đẹ,,1,2,1,0.9545608
7,o*****1,5,2022-11-29 11:44,,"Công dụng: duong da
Đóng gói sản phẩm cẩn thận. Giao hàng nhanh. Phù hợp với giá thành. Hình ảnh mang tính chất nhận xu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé.",0,2,1,0.99098325
8,huybach114,5,2022-12-16 16:53,,"Đối tượng sử dụng: 25+
Ai đag tìm 1 sp uống bổ sung collagen từ bên trong thì nên dùg sp này nha. Mình uống 3 hộp r thấy rất ok, trộm vía da mịn, sáng hơn hẳn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,2,0,3.2863522e-07
9,th_daisy,5,2023-01-12 14:51,,"tôi bị viêm loét dạ tràng, tính đến nay đã dùng blossomy màu hồng được hơn 5 tháng rồi, thấy dòng mới là premium tổ yến nên muốn thử. Cá nhân thấy vị yến ngon hơn, mn thay phiên uống để đổi vị cũng ok","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,0,2.9559978e-06
10,l*****1,5,2023-02-18 20:52,,"Đóng gói cẩn thận, hộp trang sức tặng kèm cũng khá ổn (chất lượng trung bình). Vị thì chưa uống nên không đánh giá được","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,1.0668361e-05
11,mymiyou,5,2023-02-12 22:20,,"Công dụng: làm đẹp da
Sản phẩm tốt, đóng gói kỹ, đã xài nhiều hộp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,3.686311e-08
12,p*****0,5,2022-12-23 16:25,,mấy hôm bị stress là lo mất ăn mất ngủ nên ng dễ bị mệt mà da còn sạm nữa :) biết tới loại blossomy yến này qua Diệp Chi nên mua dùng thử :)) xài đến nay hộp thứ 3 rồi thấy người khoẻ hẳn và da có sáng hơn nha. 10 điểm,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,1,0.9987908
