,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,linh19001570,5,2021-11-29 14:05,,"Trên siêu thị nói dịch bị đứt hàng nhưng đặt trên này có, may ghê
Hfjfbdjdhshhdjfkrjnfbfbfjgkkfdbbfbfnckkfkfjfbfbfbfbb",,0,1,0,1.1629487e-08
1,vanngo3009,5,2022-10-18 08:19,,"Tinh chất dưỡng ẩm, giảm sưng mụn, làm mờ thâm, hạn chế quá trình lão hóa da. Chất trong veo, thơm tươi mát, dùng một lượng nhỏ xíu như đầu bút bi vẫn cảm thấy rất ẩm, vỗ vỗ nhiều lần mới thấm. Dùng đều đặn, mong có hiệu quả. Quên mất phần quà tặng, thật tiếc.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",2,1,1,0.96973115
2,s*****9,5,2023-03-26 14:01,,"Hương thơm: chưa ngửi thử chưa bóc luôn
Làm đẹp: giúp cho da mụn nhỉ
Bao bì: okok nha
Ảnh thật vid cho xu thoii sorry sorry",,0,1,0,6.5244394e-06
3,hung_baobao,5,2022-10-12 19:12,,"Công dụng: Dưỡng da
Mùi hương: Nhẹ nhàng
Dành cho da: Mụn trưởng thành
Hàng mới, gói kĩ đẹp, date xa đến 2024","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,4.0376236e-08
4,luckytun0815,5,2021-12-10 20:29,,"Hàng chuẩn, date xa. Shop giao hàng nhanh. Shop phản hồi nhiệt tình",,0,1,0,0.09318131
5,k*****2,5,2022-01-12 20:22,,"Công dụng: mờ thâm
Ms nhận chưa sử dụng nên ko biêt sao , mong da cải thiện",,0,1,1,0.9999924
6,tuanh181624,5,2023-04-02 23:21,,"Sản phẩm tốt, phù hợp với giá tiền, nói chung đáng mua nha mọi người.",,0,2,0,2.7580695e-06
7,p*****2,5,2023-03-09 10:24,,dùng thích lắm nhaa mọi người oi video hình ảnh chỉ mang tính chất nhận xu,,0,2,0,0.0026042764
8,h*****o,5,2023-02-16 10:33,,"Công dụng: Dưỡng da mụn
Mùi hương: Nhẹ
Shop giao nhanh, đúng và đủ hàng, mới đặt hôm qua mà nay giao tới nhà rồi. Sale 15-02 có giá tốt tranh thủ mua nhiều nhiều xài lâu dài luôn nạ.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,4.770632e-07
9,duyensun9,5,2023-02-07 21:46,,"Công dụng: Dưỡng ẩm mờ thâm
Mùi hương: nhẹ
Dành cho da: chắc là mọi loại da đấy
Sản phẩm này thì mình dùng quá nhiều lần rồi, chất lượng không có gì để bàn cãi cả, 10 đỉm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,2,0,3.4294392e-12
10,g*****8,5,2023-02-17 07:22,,"Công dụng: Lam sang da
Mùi hương: không
Dành cho da: mụn
Mh đang sử dụng thấy hiệu quả nên mua thêm sẽ tiếp tục ủng hộ shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,0.0005906097
11,ngaa.ngaa,5,2023-02-16 10:37,,"Công dụng: giảm mụn
Mình đặt không chú ý là dành cho 25+, không biết nên xử lý sao","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,5.954941e-07
12,h*****2,5,2023-01-25 10:59,,"Dành cho da: mụn tuổi trưởng thành
Công dụng: trị mụn
Tinh chất Acnes chuyên biệt dành cho da mụn tuổi trưởng thành, chưa dùng nên chưa biết hiệu quả như thế nào.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,3,0,3.8984635e-11
13,nhung123nhunh,5,2023-02-02 17:10,,"Giao hàng nhanh.
Sp đã dùng 1 lọ rồi nên tin tưởng mua tiếp. Khi nào thấy có dấu hiệu mụn mọc (đau, đỏ, sưng) bôi vào 1-2 ngày là mụn nhanh tịt - hoặc nhanh chín hơn. Nặn mụn  xong thì bôi tiếp cho nhanh liền sẹo, giảm thâm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,1.0133063e-05
14,phuongkem.279,5,2023-01-13 10:11,,"Công dụng: tot
Mùi hương: ok
Dành cho da: mụn
Da mình nhạy cảm nhưng từ khi chuyển sang dùng bộ sản phẩm của Acnes thì k thấy mụn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..",0,3,0,5.6389026e-06
15,h*****o,5,2022-12-14 15:02,,"Công dụng: Serum cho da mụn
Mùi hương: Nhẹ
Dành cho da: Có mụn
Shop giao nhanh, đúng và đủ hàng. Sản phẩm dùng tốt cảm thấy có tác dụng đó mn, da ok hơn rùi.
Mua sale 12.12 đc tặng kèm bộ sp gì quá trời món giá 0đ nữa nè.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,7.417365e-12
