,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,astropop,5,2023-04-02 21:59,Phân loại hàng: Combo,"Hương thơm: tạm ok
Kinh nghiệm sử dụng: ok
Lợi ích: giảm gàu
Giao hàng nhanh, loại này dùng để gội giảm gàu khá tốt nhé, dùng khoảng 2-3 lần/tuần liên tục 3-4 tuần là đỡ hẳn luôn",,0,1,0,0.6323949
1,s*****n,5,2023-03-16 20:39,Phân loại hàng: Combo,"Công dụng: tri gàu
Mùi hương: vừa phải
Dành cho tóc: gàu
tốt cho da đầu gàu. k ngứa. dùng thêm xả tránh khô tóc.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,2.0012749e-08
2,c*****e,5,2023-02-04 18:46,Phân loại hàng: Combo,"Mới mua lần đầu, chưa sử dụng mong sẽ hợp. Ship nhanh đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,1,0.8664732
3,oanhpham211,5,2023-01-30 12:32,Phân loại hàng: Combo,"Công dụng: trị gầu
Mùi hương: hơi hắc chút
Mình sử dụng thấy khá ổn tình trạng gầu đỡ hơn và tóc khá mượt mỗi tội mùi hơi hắc chút","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,1,0,2.8776728e-07
4,k*****1,5,2023-01-09 10:32,Phân loại hàng: Combo,"Đã nhận được hàng, đóng gói kỹ lưỡng, xài loại này cần thêm tuýp xả tóc để đỡ khô, sẽ ủng hộ lần sau cho shop","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,3.812826e-05
5,babymore_shop,5,2022-12-14 17:23,Phân loại hàng: Combo,"Chưa dùng n thấy bạn bè review ok lắm, giao hàng nhanh, đóng gói cẩn thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,1,0.99809414
6,h*****9,5,2023-05-29 13:52,Phân loại hàng: Combo,"Kinh nghiệm sử dụng: trị gàu tốt, tạo bọt ít, dùng kèm dầu xả để giữ ẩm tóc
Hương thơm: bình thường
Mẹo: lấy lượng dầu gội vừa đủ để tránh tóc bị khô cứng",,0,2,0,6.451673e-08
7,higanbana00,5,2023-05-28 10:08,Phân loại hàng: Combo,"Sản phẩm giao đúng mẫu, nhanh chóng, chất lượng bình dân so với giá tiền, nhìn khá ok",,0,2,0,1.3552265e-07
8,tocxuori,5,2023-05-26 21:34,Phân loại hàng: Combo,"Kinh nghiệm sử dụng: chưa
Mẹo: chưa
Hương thơm: bình thường
Hôm qua mình nhận đc đã dùng thử để hôm nay review , mình chỉ gội qua và xả qua nhưng cũng thấy hôm nay ko còn bị ngứa vì gàu mong là hiệu quả ,",,0,2,0,7.96688e-07
9,d*****n,5,2023-05-24 19:25,Phân loại hàng: Combo,"Đóng gói cẩn thận, giao hàng nhanh, sản phẩm đã dùng nhiều lần như cảm thấy ưng ý vô cùng",,0,2,0,0.5651617
