,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,pananguyen,5,2022-12-18 08:52,Phân loại hàng: Combo,"Công dụng: trị gàu, nấm
Mùi hương: thơm nhẹ
Dành cho tóc: gàu
Ship nhanh mà thùng bị rách mất rồi. Shop bọc hàng không có chống sóc làm bị bẹp mất hộp nhưng ko sao. Gội mới 1 lần cũng đỡ gàu hơn rồi. Mong dùng hiệu quả","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,1.042449e-07
1,haudateh177,5,2023-03-05 18:17,Phân loại hàng: Combo,mùi thơm dễ chịu giao hàng nhanh sẽ ủng hộ thêm nếu hiệu quả thanks,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,1,1.0
2,havi061,5,2023-02-06 13:12,Phân loại hàng: Combo,"Công dụng: sạch gầu
Mùi hương: thơm
Chưa dùng nên k biết, nma hàng giao nhanh
Shipper thân thiện","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,1,0,0.15639815
3,linhly2409,5,2023-02-23 03:59,Phân loại hàng: Combo,"Công dụng: trị gàu, ngứa
Mùi hương: thơm
Dành cho tóc: bết, gàu, ngứa
Dầu gội xong khô tóc nha, nên dùng thêm dầu xả đi kèm, hương thơm. Tóc m dùng nhiều loại dầu gội từ rẻ đến mắc tiền rồi nhưng vì da dầu gội chừg nửa ngày là bị bết rồi. Lướt fb thấy mn khen sp này nên mua dùg thử m dùg 2 tuần thấy cũg ok lâu bết tóc hơn đầu m siêu dầu nay gội dầu gội này 2-3 ngày mới bết lại cũng ít thấy ngứa hơn.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,2.3346844e-09
4,hoaphongphulam,5,2022-11-28 10:52,Phân loại hàng: Combo,Gội 1 lần đã thấy khác biệt rồi. M mua cả dầu xả dùng oke hơn rất nhiều. Chỉ dùng gội thôi thì cảm giác tóc rất khô,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,6.937958e-07
5,thanhhuyen.13579,5,2022-11-28 08:20,Phân loại hàng: Combo,"Công dụng: tot
Mùi hương: thon
Dành cho tóc: gầu
Suôn mượt mềm tóc, k bị khô, mùi hương thơm rất phù hợp vs ng Vn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé 
",0,1,0,1.3435789e-09
6,quinh633,5,2022-10-26 10:41,Phân loại hàng: Combo,"Công dụng: chống gàu
Mùi hương: dễ chuyện với
Dành cho tóc: da dầu
Sản phẩm tốt, giao hàng nhanh. Mọi người nên mua ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.1710797e-12
7,duy_tran12,5,2023-04-05 21:47,Phân loại hàng: Combo,"Hương thơm: dịu nhẹ
Nhận đầy đủ sản phẩm , có kèm quà tặng nha bsubauijbahsb",,0,2,0,1.8547876e-13
8,lyly27499,5,2023-03-26 23:01,Phân loại hàng: Combo,"Hương thơm: thowm
Tôi không biết mua cái gì đấy em ạ a nặng k I và gia nhập vào nhóm sỉ lẻ các mặt đi rồi em ơi",,0,2,0,0.06561689
9,whitecat97,5,2023-03-24 18:20,Phân loại hàng: Combo,Shop giao hàng nhanh đầy đủ đã mua nhiều lần sản phẩm tốt đáng để thử,,0,2,0,0.0018253775
10,ploan2808,5,2023-02-27 07:03,Phân loại hàng: Combo,Sản phẩm dùng rất oki đáng mua và giá cũng hợp lí 😘 dùng khoảng 3 tuần sẽ thấy hiệu quẢ,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,5.4815675e-05
11,thaobe.998,5,2023-02-17 13:18,Phân loại hàng: Combo,"Gội quá là okela luôn, giảm ngứa ngay từ lần đầu sử dụng, tóc không hề bị khô","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,2,0,3.36405e-06
12,d*****7,5,2023-02-16 22:47,Phân loại hàng: Combo,"Được mã giảm 70 cành nên mua được giá khá hời, dùng hơi khô da đầu nhưg sạch gầu nấm lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,1.7687821e-08
13,cngtinnguyn734,5,2023-02-16 18:58,Phân loại hàng: Combo,"Công dụng: trị gàu
Mùi hương: hông biết
Dành cho tóc: tóc
Chưa dùng nên chưa đánh giá được nhưng shop ship nhanh đóng gói cản thận","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,3.7504277e-13
14,whitecat97,5,2023-02-14 11:11,Phân loại hàng: Combo,ai đang bị gàu thì nên sd nha sp mình sử dụng trên 2 năm ok lắm nha,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,3,1,0.99722326
15,minhchaukd,5,2023-02-02 20:43,Phân loại hàng: Combo,"Công dụng: sạch gàu
Mùi hương: tui cx kbt
Dành cho tóc: bết, gàu
Gội cái này cũng sạch đó cơ mà gội xong hơi khô tóc=)))) các bạn dùng gội selsun r thêm xả dove cho mượt nho","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,0,0.2602563
16,l*****a,5,2023-01-31 18:26,Phân loại hàng: Combo,Sản phẩm tốt giao hàng nhanh đủ số lượng shipper thân thiện..,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,1,0.9414353
17,m*****h,5,2023-01-19 11:32,Phân loại hàng: Combo,"Mùi hương: thơm
Dành cho tóc: có gàu
Công dụng: trị gàu
Dầu gội trị gàu mà tóc vẫn suôn mượt hương thơm dễ chịu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,3,0,1.1995539e-07
18,t*****n,5,2023-01-30 11:00,Phân loại hàng: Combo,sản phẩm này nổi tiếng là tốt rồi nên dùng rất ok phải kiêng trì dùng mới hết nhe,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,4,0,1.8162705e-10
19,wild.turtle,5,2023-01-01 20:33,Phân loại hàng: Combo,"Công dụng: sạch gàu, hết ngứa
Mùi hương: khá dễ chịu
Rất tin tưởng dùng loại dầu gội trị gầu này. Nhanh hết ngứa và mùi dễ chịu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,4,1,0.9900131
20,pupumon,5,2022-12-17 22:33,Phân loại hàng: Combo,"Công dụng: trij gau- tri nam
Mùi hương: thom
Dành cho tóc: all
Hinh anh mang tinh chat nhan xu.
Sp hiệu quả. Hết ngứa. Thơm. Và sạch gàu- sạch dầu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,5.2088783e-10
21,f*****o,5,2022-12-15 00:19,Phân loại hàng: Combo,"Sản phẩm sử dụng rất là okela, rất đáng tiền, highly recommend mn nhé","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,4,1,0.99640214
22,thanhdanhhd86,5,2022-12-07 21:59,Phân loại hàng: Combo,"Công dụng: gội đầu
Mùi hương: thơm
Dành cho tóc: các loại
Sản phẩm ok nhé. Cảm ơn shop. Hình ảnh và video mang tính nhận xu. Sẽ ủng hộ shop lần tiếp theo","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,4,0,5.725935e-09
23,p*****6,5,2022-11-07 03:13,Phân loại hàng: Combo,"Xịn, sạch gàu, combo chất lượng cảm ơn shop rất nhiều, video và ảnh mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,4,0,9.24831e-09
24,lamthuyduong1013,5,2022-12-01 14:17,Phân loại hàng: Combo,Sài duoc 1 tuần rồi xong lên đây rw thấy gàu bớt hảng mà hơi khô voi rít tóc nên thoa thêm dưỡng,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,5,0,0.0007691544
