,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,nhtnguyennguyen,5,2022-10-13 08:52,,"Công dụng: Trang da
Đối tượng sử dụng: Nguoi
Đúng sản phẩm, còn trắng hay không để uống lâu dài mới biết được
Bảng thành phần đơn giản, nhiều loại vitamin cần thiết hỗ trợ cho cơ thể để làm đẹp 
Của rohto nên tin tưởng mua, hi vọng có tác dụng","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",5,1,0,0.0018214519
1,sammum1412,5,2023-02-04 17:49,,"Công dụng: trắng da
Mình mua 3 hộp rồi, uống vào thấy sáng và mịn da thật. Mà phải duy trì đều đặn, từ hồi uống giờ thấy da có thay đổi thật. Nhưng không biết uống nhiều có phải có thời gian nghỉ không nữa. Mọi người nên mua và kiên trì uống nhé.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",3,1,0,3.7518046e-06
2,kimchau85,5,2023-01-09 22:01,,"Công dụng: dưỡng trắng
Đối tượng sử dụng: muốn dưỡng trắng
Shop giao đúng mẫu tuy nhiên có hiệu quả ko phải cần có thời gian mới sử dụng nên ko biết được ntn","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,1,0,0.00032389254
3,sammum1412,5,2022-11-21 22:33,,"Công dụng: viên uống sáng da
Đối tượng sử dụng: người bị thâm, nám, lão hoá
Thấy HannahOlala review và nhỏ em kêu nên mua thử uống, mới uống được hai ngày thôi nhưng thấy moj người bảo phải uống hai tháng mới thấy công dụng. Mình sẽ cố gắng kiên trì vì thuốc cũng khá mắc 🥲
Nếu ổn sẽ thấy mình vào review nữa hihi","Sunplay xin chào bạn, Sunplay rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Sunplay . Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé. Chúc bạn vui vẻ ạ.",2,1,0,2.7837837e-08
4,m*****1,5,2022-05-16 17:37,,Chưa dùng nên mình sẽ đánh giá sau. Mua theo rv của chị na nên mua thử,,1,1,0,0.09069714
5,jumynguyen22,5,2022-05-17 22:05,,Hàng giao nhanh mới đặt hôm qua qua ngày là đã có liền. Sản phẩm chất lượng,,1,1,0,0.0006299633
6,nguyenthuyngoc.,5,2023-04-17 19:33,,"Mua sẵn hộp thứ 2, mình uống gần hết hộp thứ 1 rồi da chưa thấy thay đổi, hi vọng uống đủ 3 tháng da sẽ lên tông",,0,2,1,0.99990976
7,3*****x,5,2022-12-19 16:22,,"Công dụng: nice
Đối tượng sử dụng: kh bt tr oi
THCS Đào Duy Anh PN:  : Thứ 4 (7/12) TA+KNS: mang sách vở.
Địa: làm trắc nghiệm trong ĐC cô sửa, kt 15p.
MT: mang màu chì.
Toán: làm đề trong group lớp.
Sinh: học hết ĐC.
CN: ôn nội dung ôn tập, làm trắc nghiệm trong ĐC.
Lý: soạn nội dung ôn tập.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",1,2,0,0.002732258
8,phu.lt,5,2022-07-28 00:16,,"Giao hàng nhanh, hạn sử dụng còn được gần 01 năm, uống đến hộp thứ 3 rồi, có sáng da toàn thân thật","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.
",3,2,1,0.978576
9,g8phuong,5,2022-08-28 18:15,,Hình ảnh và video chỉ mang tính chất nhận thưởng. Hi........,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,2,0,2.9659121e-08
10,p*****0,5,2022-08-17 08:22,,"Công dụng: Viên uống sáng da
Đối tượng sử dụng: Mọi đối tượng
Đóng gói hơi ọp ẹp có chống sốc nhưng hộp vẫn hơi bẹp","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",1,2,1,0.99725807
11,m*****1,5,2022-07-01 22:42,,Dùng dc 1 tháng nhưng chưa thấy hiệu quả. Mình vẫn kiên trì dùng xem có sáng lên dc k,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,1,0.9646096
12,kimthuymisa123,5,2023-01-30 14:33,,"Hàng chính hãng, date xa. Có thể mua nha mọi người.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",0,3,0,1.246141e-10
13,thienphucmai97,5,2022-03-19 23:51,,Đóng gói cẩn thận và đẹp giao hàng nhanh nhưng không biết hiệu quả ô,,0,3,1,0.99824774
14,nguyenkimngansubeo,5,2022-07-31 17:14,,Ẩn phẩm tốt! Ẩn phẩm tốt! Ẩn phẩm tốt! Ok! Ẩn phẩm tốt! Ẩn phẩm tốt!,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,1.0
15,k*****h,5,2023-02-13 13:02,,Hy vọng làn da cải thiện,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,3,1,0.86351717
16,tshirt2010vn,5,2023-01-14 12:34,,Giao hàng nhanh.,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,3,1,0.9078348
17,tshirt2010vn,5,2022-12-28 12:07,,Đóng gói kĩ càng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,3,1,0.9998301
