,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,a*****7,5,2021-10-25 20:14,,"Sản phẩm dùng tốt, giao hàng nhanh, mua được giá khuyến mãi, cảm ơn rất nhiều",,9,1,0,2.1851643e-05
1,tuanc3ttt,5,2022-07-08 10:40,,"Sản phẩm mình mua lần này là lần thứ 3 rồi, Đợt này hộp hơi móp tí so với các lần trước nhưng mình vẫn vote 5 sao. Sau shop để ý vỏ sản phẩm tốt hơn nhé, ọp ép khách cũng ko thích lắm.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",5,1,1,0.99905473
2,vanngo3009,5,2022-05-22 12:12,,"Chỉ mua một hộp viên uống sáng mắt, shop đóng gói cẩn thận, bao bóng chống sốc rất tốt. Hộp nguyên seal, bên trong có túi zip nhỏ, xé mở dễ dàng, có 30 viên nang mềm. Lần đầu mua, mong uống hiệu quả.",,2,1,0,9.769538e-05
3,n*****4,5,2023-02-15 16:50,,"Công dụng: thực phẩm chức năng
Đối tượng sử dụng: người trưởng thành
Mình dùng viên uống này cũng lần 3 rồi, thấy chất lượng và có hiệu quả cải thiện mỏi mắt tốt. Đặt hàng được tặng kèm quà tặng quá hời. Hộp đựng màu hồng rất dễ thương 🥰","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,0,0.001941195
4,ngoclinh996,5,2022-07-26 12:24,,"Công dụng: bổ mắt
Đối tượng sử dụng: người cần chăm mắt
Mình mới mua dùng lần đầu. Đóng gói cẩn thận, túi zip nêm bảo quản thuốc tốt. Được tặng kèm bộ hộp cơm xịn xò. Vì là thuốc nên dùng lâu mới thấy hiệu quả, hiện tại chưa đánh giá được","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.

",1,1,0,0.0002136945
5,l*****5,5,2022-01-11 20:42,,Thuốc tốt đóng gói đẹp cẩn thận,,3,1,1,0.9020586
6,kin.kute,5,2022-01-13 12:47,,"Shop giao đúng và đủ sản phẩm.
Mình đã check, viên uống sáng mắt này chuẩn hàng chính hãng.
Đóng gói cẩn thận và giao hàng nhanh.
Nhân viên tư vấn lịch sự và tử tế. 
Tặng shop 5 sao nhé.",,2,2,1,0.99999917
7,y*****6,5,2023-04-01 16:19,,"Đối tượng sử dụng: thanh thiếu niên và người lớn
Công dụng: bổ mắt
Lần đầu tiên mình dùng viên bổ mắt của Nhật,xem review của chị hana mà mình mua,cả nhà mình từ bé đến lớn đều bị cận và khô mắt nên dùng thời gian xem sao",,0,2,0,4.5834706e-05
8,a*****1,5,2022-12-14 15:39,,"Lần đầu tiên thấy việc giao chung như vậy
Giao rất lẹ 2 ngày là nhận được rồi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,0.9992717
9,yennguyen0919,5,2022-03-07 11:52,,"Sản phẩm sử dụng tốt, mua lần thứ 2, mua từ shopee mall nên yên tâm về chất lượng. Đóng gói cẩn thận, giao hàng nhanh chóng. Uống thấy mắt đỡ mỏi, nhức hơn hẳn.",,0,2,0,8.863455e-05
