,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,t*****7,5,2023-03-20 14:58,,"Đối tượng sử dụng: mọi
Công dụng: hỗ trợ dtri xoang
Shop giao đúng và đủ
Hàng như ảnh và mô tả
Chất lượng ok với giá tiền
Ko có ảnh vì dùng gần hết rồi. Thấy khá ok mn ạ",,0,1,0,6.618642e-07
1,tuanhmta,5,2023-02-06 09:24,,"Công dụng: ve sinh mui
Đối tượng sử dụng: tất cả mọi người
Mua về dùng thử, hi vọng có tác dụng với cái mũi của mình","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,0,0.07204467
2,c*****u,5,2022-12-28 00:28,,"Nhỏ gọn, dễ sd, dùng xong bớt ngứa mũi, hắt hơi...dùng kết hợp với bộ nosewash hiệu quả","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,1,0,1.7382128e-05
3,lamchi2015,5,2022-03-19 15:42,,"Sản phẩm shopmall nên rất yên tâm. Đã dùng hết 2 lọ rồi, rất có hiệu quả nha m.ng. nên mua. Mua nhiều lần rồi nên cũng khá uy tín ạ",,0,1,0,0.21619843
4,lamchi2015,5,2022-01-20 15:30,,Chưa biết dùng có tốt không. Nhưng sẽ thử xem thế bào roiif quay lại đán giá tiêpz,,0,1,0,0.041096374
5,bachphachtu,5,2022-02-24 20:20,,"Ầy, nói chung cũng tạm được, nhưng mà trị nghẹt mũi không tốt lắm.  Theo riêng t thấy thì còn không bằng chai nước biển sâu Xisat t mua ngoài hiệu thuốc có 23k, nghẹt mũi xịt vô mà thuốc không vào lỗ mũi mà chảy ngược ra không. Được cái ship nhanh",,1,1,0,2.0859172e-11
6,tuongvi196,5,2022-11-15 22:22,,"Chưa sử dụng loại này, mua thêm để nhận đc quà tặng nến thơm :))","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,2,0,1.1409187e-08
7,t*****6,5,2022-04-29 16:11,,Đã đặt mua lần thứ 3 rồi. Ông xã mình dùng rất ok. Giảm rẻ hơn sẽ mua nhiều nữa,,0,2,0,6.72722e-06
8,tiramisu.06,5,2022-03-28 09:33,,"Giao hàng siêu nhanh. Đóng gói kỹ, đẹp. Lần đầu mua của shop. Chất lượng",,0,2,0,0.036669273
9,tiramisu.06,5,2022-03-28 09:31,,"Giao hàng siêu nhanh, đóng gói kỹ, đẹp. Lần thứ 2 mua của shop.",,0,2,0,0.55021006
10,m*****4,5,2022-05-08 01:21,,"Chưa dùng nên chưa biết có tác dụng như thế nào, mà thấy chai nhỏ nên rất tiện mang theo người. Shop đóng gói kỹ, ship rất nhanh, thank shop ❤️",,0,2,0,0.02192071
11,phuongtran29,5,2022-03-13 22:38,,"Thích son của flawsome lắm, dòng trước thì nhiều dưỡng nhưng màu ko bám lắm, đợt này chất lì hơn xíu, có mùi vani nhẹ nhẹ",,0,2,0,6.9828495e-14
12,t*****b,5,2021-09-18 23:15,,Thuốc này giống như xịt sạch mũi như nước muối thôi chứ mình viêm xoang dị ứng cần loại mạnh xịt cái đỡ ngẹt mũi luôn. ncl ko đủ đô với mình. xịt vào ngạt mũi hơn. lại còn mua tận 2 lọ chán,,0,3,0,0.0014611558
13,tranhuong120799,5,2022-09-27 22:42,,Shop giao đúng hàng xịt chưa sử dụng lên chưa biết có hiệu quả k đánh giá cho shop 5 sao vì giao hàng rất nhanh mới đặt nay đã có rồi,"Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé.",0,3,1,0.99953985
