,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,phanhuyen1011,5,2023-02-05 11:54,Phân loại hàng: Hương phấn thơm,"Công dụng: xịt thơm
Mùi hương: Oker
Phù hợp với loại da: tất cả
Bạn đang có một bức ảnh đẹp, bạn đang tìm một STT hay, ưng ý để thu hút nhiều lượt like. Bạn đau đầu vì chưa nghĩ ra cap phù hợp với phong cách bức ảnh cần được thể hiện?

Đừng lo, đội ngũ INVERT chúng tôi chia sẽ cho bạn một số stt-hay, cap đăng ảnh cực HOT hút nghìn like mà bạn không thể nào bỏ lỡ.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..",4,1,1,0.85176075
1,thucanhnguyen329,5,2023-02-08 17:16,Phân loại hàng: Hương phấn thơm,"Công dụng: tốt
Mùi hương: thơm
Phù hợp với loại da: ko bt
Bn mik bt r is the only thing she has ever had with him in a row so you know I can tell him I love 💕 but you can do whatever 🌂 I just need you so you do it for you so you don’t have it in your mind you don’t get a hold you to","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",3,1,0,0.006023838
2,zdo43rqgyp,5,2023-02-07 17:52,Phân loại hàng: Hương sang trọng,"Công dụng: lam thom
Mùi hương: sang
Phù hợp với loại da: ok
Người duy nhất xứng đáng với tình yêu của bạn là người đối xử với bạn bằng sự tôn trọng, thấu hiểu và yêu thương khi bạn buồn.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",3,1,1,1.0
3,n*****4,5,2023-01-17 15:56,Phân loại hàng: Hương phấn thơm,"Công dụng: khử mùi
Mùi hương: Thơm
Phù hợp với loại da: ko bt
Giao nhanh ( hình ảnh chỉ mang tính chất nhận xu)","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",1,1,0,8.2701554e-05
4,kimanhvu0810,5,2021-09-14 12:06,Phân loại hàng: Hương ngọt ngào,"Đã nhận được hàng, k nghĩ giao nhanh thế luôn. Thơmmmmmmmmmmmmmmmmmmmmmmmmmmmm mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm",,3,1,1,0.99898463
5,trang76254,5,2022-06-24 10:11,Phân loại hàng: Hương ngọt ngào,Giao hàng nhanh mới đặt hôm qua hôm nay có hàng .. đúng hàng vỏ hơi móp nhưng mà bên trong ko sao,,5,1,0,7.314302e-08
6,dhnfyjryj,5,2022-02-22 07:10,Phân loại hàng: Hương phấn thơm,"Công dụng: Để cài lâu rồi đánh giá lại sau
Mùi hương: Cái chai màu vàng í mình nghĩ là nó sẽ ko hợp với nhiều bạn tại mùi hơi khó ngửi
Kết cấu: dạng xịt tiện dụng
Cái chai màu xanh lá thì thơm và dễ ngửi hơn
Giao cũng khá nhanh ớ
Đóng gói thì siêu cẩn thận luôn nha 
😍😍😍😍😍",,7,2,0,1.5111568e-09
7,thanhvan110402,5,2022-11-14 23:17,Phân loại hàng: Hương phấn thơm,"Công dụng: dưỡng trắng
Mùi hương: phấn thơm
Phù hợp với loại da: tốt
Đã mua lần thứ n không có gì phải bàn cãi. Hương thơm k giữ được lâu nhưng thơm thoang thoảng lại rất dễ chịu ai cũng khen. Shop phucj vụ giao hàng đóng gói tốt 1000 điểm lun. Vẫn sẽ ủng hộ shop lau dài","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.7798307e-09
8,nhube2005,5,2022-11-27 10:26,Phân loại hàng: Hương ngọt ngào,"Công dụng: xịt nách
Mùi hương: cũng được
Phù hợp với loại da: mọi
Chưa sd nên chưa biết ngừ yêu mình lấy dùm nên chưa Sài đc shiper nhiệt tình giao hàng nhanh","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.0019800758
9,jangmirubydiamond,5,2022-03-16 12:33,Phân loại hàng: Hương phấn thơm,"Công dụng: khử mùi cơ thể
Mùi hương: này dùng được cho cả nam lẫn nữ mùi rất là dễ chịu mà kh cảm thấy hắc khó chịu
Kết cấu: lan tỏa khá nhanh mà bám khá lâu, hàng giống mẫu nên làm biếng chụp :>>]
Mùi này mình đánh giá kh cao bằng hương gỗ nhưng mà vẫn rất thơm nhéeee",,4,2,0,4.6623982e-11
10,ngocgiau01022008,5,2022-12-13 16:41,Phân loại hàng: Hương phấn thơm,"Công dụng: xịt khử mùi
Mùi hương: hương phấn
Chưa xài nên chưa biết thế nào,mùi thơm nhẹ,dễ chịu","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",2,2,0,3.0051359e-15
