,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,dtglinh,5,2022-12-11 12:13,,"Mùi hương: thơm dịu nhẹ
Đã xài rất nhiều chai, thích hợp làm nước hoa
Hình ảnh chỉ mang tính chất nhận xu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé",0,1,0,2.6295783e-07
1,Người dùng Shopee,5,2021-09-28 10:31,,Thơm cực kỳ từ đầu hơi hắc síu nhưng một lúc sau thoang thoảng thì lại ok xịt vào vùng dưới cánh tay thì k ổn lắm tại nó k khô với lại có lúc cảm giác vẫn bị mùi nên dùng làm nước hoa thì OK hơn,,2,1,1,1.0
2,giangnguyen20121402,5,2022-10-06 12:43,,"Công dụng: trắng nách, khử mùi
Mùi hương: ngọt ngọt
Phù hợp với loại da: chắc là tất cả á
Mua về sịt thơm lắm. Ngày nào cr cx qua ngửi hết. Thích quá","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",1,1,1,0.999918
3,t*****5,5,2021-11-29 10:41,,Giao hàng nhanhhhhhhhhhhhhhhhhh. Mùi thơm nhè nhẹeeee. Sẽ ủng hộ tiếppppllll,,1,1,1,1.0
4,ngoclinhlenguyen,5,2022-01-17 14:55,,"Đã lắm nhaaa, mùi hương dịu nhẹ, êm êm ko quá nồng đâu, thơm phức nheee, giao nhanhh và đóng gói đẹp cẩn thận",,0,1,0,1.8449557e-05
5,kimjennie2005,5,2021-12-08 15:43,,Sản phẩm rất tốt . Shop nhiệt tình . Giao hàng nhanh okkkkkkkk,,0,1,1,0.97421515
6,0432vme4c7,5,2021-12-14 16:25,,Thơm nhưng k bt hiệu quả kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,,1,2,1,0.99999475
7,m*****n,5,2023-03-26 14:07,,"Mùi hương: nước hoa
Công dụng: khử mùi
Mùi hương khá thơm, lúc mới xịt sẽ thấy nồng nhưng sau sẽ đỡ và thơm",,0,2,0,1.8398818e-07
8,thuyduong6894,5,2021-11-02 20:07,,Giày dép da bò ghé shop mình nhé. Sản phẩm xịt rất thơm còn bôi mũi k biết có hiệu quả k mùi hương nhẹ nhàng dễ chịu. M tưởng shop ơi hcm chứ hn thì giao hàng hơi lâu.,,1,2,0,6.3290485e-05
9,g*****1,5,2022-11-16 16:26,,"Công dụng: xịt khử mùi
Mùi hương: tình yêu
Có mùi thơm nhẹ thoang thoảng như phấn em bé, rất thích. Giao hàng nhanh chóng.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,1.1237736e-10
10,manhhamymy,5,2022-03-11 05:55,,"Công dụng: dùng hãng này lâu năm rồi. nhưng lần đầu trải nghiệm trên shopee
Mùi hương: mùi khá quyến rũ",,1,2,0,4.3294868e-10
11,vuthituanh1997,5,2021-12-02 13:24,,"Đã nhận được hàng
Tgian chuẩn bị hàng cực nhanh
Giao hàng cũng nhanh
Shop đóng gói kỹ
Tuy k cho lựa mùi
Nhưng giao mùi này cũng ok
Còn chất lượng sẽ cho đánh giá sau",,0,2,0,0.012188454
12,chinhh2942,5,2022-01-09 15:10,,"Công dụng: giúp cho cơ thể luôn thơm tho và đặc biệt là vùng dưới cánh tay rất trắng
Mùi hương: xịn xò
Kết cấu: ổn",,0,3,0,0.00077511434
13,annguyenhoangkhanh,5,2022-01-20 16:08,,"Công dụng: XIt thom wj
Mùi hương: In love , deluxe
Kết cấu: lỏng dễ dùng, thom, có thể dùng hàng ngày được",,0,3,0,7.522435e-06
14,thao...phuong...fff,5,2022-01-12 12:40,,"Công dụng: Xịt Thơm
Mùi hương: Hoa Hồng
Kết cấu: Nước
Khá thơm gói hàng tạm ổn xinh đáng mua giao hàng khá nhanh",,0,3,0,0.00030675036
15,0000000_00000a,5,2023-04-05 17:50,,Mình ở phan thiết mà đặt hôm 4/4 qua 5/4 da nhận được r.vừa dc voucher giảm 50% mà còn dc free ship.quá hời luôn.mọi người nên mua nhé.hàng date xa.gói hàng ký.shipper nhiệt tình,,0,3,0,5.7790245e-10
16,_trinh2129,5,2023-04-03 14:37,,"Giao nhanh
Giao đúng sản phẩm
Đóng gói cẩn thận
Đuoc tặng gấu bông",,0,3,1,0.92758554
17,a*****5,5,2023-04-05 17:09,,"Mùi hương: khá thơm
Thử cho người khác rồi mà thấy cũng không được ổn cho lắm í",,0,3,1,0.9991493
