,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,n*****0,5,2023-03-29 00:18,Phân loại hàng: Hương Trà Xanh,"Mùi hương: thom nhe rat de chiu
Phù hợp với loại da: phù hợp với mọi loại da nha
Công dụng: khô thoáng, thơm
Mùi thơm lắm í, mình mua mấy lần rồi, ưng mùi trà xanh và lọ màu hồng nè.
Rcm mng nên mua nha 👌🏻",,1,1,0,4.2163065e-06
1,zei028,5,2022-03-26 18:54,Phân loại hàng: Hồng mộc lan,"Công dụng: Khử mùi
Mùi hương: thơm nhưng hơi nồng
Kết cấu: lỏng
Giao hàng cực kì nhanh, chai hương thảo hơi hắt nhưng để tầm 2-3p thì mùi sẽ dịu lại, còn mùi mộc lan khá thơm dịu nhẹ nhưng ko phải gu mk nên tầm 9/10. M.n cũng nên mua để khử mùi đi, nhất là cgái cần qtâm nhất là mùi hương cơ thể",,2,1,0,2.8759464e-10
2,lehuong.anh,5,2022-03-20 21:33,Phân loại hàng: Hương gỗ,"Công dụng: LÀm thơm
Mùi hương: Hương Gỗ Woody
Kết cấu: Nha đam và Cầm thảo
Em này riêng mình thấy mùi khá nồng và chỉ hợp cho những bạn đi cưới hay đi chơi chứ đi học là không ổn đâu nha mọi người nên mua mùi Trà Xanh vì nó thơm cực ý",,1,1,0,5.0363833e-05
3,Người dùng Shopee,5,2021-11-10 11:11,Phân loại hàng: Hương Trà Xanh,"Chuẩn bị và đóng gói hàng khá là lâu, nhưng bù lại sau khi giao hàng cho đơn vị vận chuyển giao hàng nhanh, nói chung là khâu chuẩn bị và đóng gói hàng lâu thôi, mùi cũng khá thơm so với tầm giá thì cũng tạm ổn. Còn có vàng áo hay không thì sử dụng 1 thời gian sau mới biết được. Hình ảnh nhận xu",,0,1,0,4.7063542e-12
4,jangmirubydiamond,5,2022-03-16 12:33,Phân loại hàng: Hương gỗ,"Công dụng: khử mùi cơ thể, thơm lâu và mùi rất dễ chịu
Mùi hương: rất là thơm lun í và cũng giữ mùi ok
Kết cấu: khi xịt thì đầu xịt rất mịn nên lan tỏa khá đều
Hàng giống mẫu nên là rất ưng,cũng như shop giải quyết vấn đề khá nhanh giúp quá trình vận chuyển rất tốt 
HÃY MUA HƯƠNG GỖ, TIN MÌNH ĐI !",,0,1,0,3.5845069e-06
5,phuongnguyet2407,5,2022-06-16 18:09,Phân loại hàng: Hương gỗ,"Phù hợp với loại da: phù hợp
Công dụng: xịt khử mùi
Mùi hương: hương gỗ
Thời gian giao hàng rất nhanh, shop gói rất cẩn thận,",,0,1,0,4.19486e-09
6,n*****0,5,2023-03-29 00:18,Phân loại hàng: Hương Trà Xanh,"Mùi hương: thom nhe rat de chiu
Phù hợp với loại da: phù hợp với mọi loại da nha
Công dụng: khô thoáng, thơm
Mùi thơm lắm í, mình mua mấy lần rồi, ưng mùi trà xanh và lọ màu hồng nè.
Rcm mng nên mua nha 👌🏻",,1,2,0,4.2163065e-06
7,zei028,5,2022-03-26 18:54,Phân loại hàng: Hồng mộc lan,"Công dụng: Khử mùi
Mùi hương: thơm nhưng hơi nồng
Kết cấu: lỏng
Giao hàng cực kì nhanh, chai hương thảo hơi hắt nhưng để tầm 2-3p thì mùi sẽ dịu lại, còn mùi mộc lan khá thơm dịu nhẹ nhưng ko phải gu mk nên tầm 9/10. M.n cũng nên mua để khử mùi đi, nhất là cgái cần qtâm nhất là mùi hương cơ thể",,2,2,0,2.8759464e-10
8,lehuong.anh,5,2022-03-20 21:33,Phân loại hàng: Hương gỗ,"Công dụng: LÀm thơm
Mùi hương: Hương Gỗ Woody
Kết cấu: Nha đam và Cầm thảo
Em này riêng mình thấy mùi khá nồng và chỉ hợp cho những bạn đi cưới hay đi chơi chứ đi học là không ổn đâu nha mọi người nên mua mùi Trà Xanh vì nó thơm cực ý",,1,2,0,5.0363833e-05
9,Người dùng Shopee,5,2021-11-10 11:11,Phân loại hàng: Hương Trà Xanh,"Chuẩn bị và đóng gói hàng khá là lâu, nhưng bù lại sau khi giao hàng cho đơn vị vận chuyển giao hàng nhanh, nói chung là khâu chuẩn bị và đóng gói hàng lâu thôi, mùi cũng khá thơm so với tầm giá thì cũng tạm ổn. Còn có vàng áo hay không thì sử dụng 1 thời gian sau mới biết được. Hình ảnh nhận xu",,0,2,0,4.7063542e-12
