,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
0,shoper05,5,2022-05-14 21:27,,"Công dụng: Khử mùi
Mùi hương: Thanh khiết
Phù hợp với loại da: mọi loại da
Mua lần 3, tặng 1 người thân trong nhà bị viêm nặng mà thấy hiệu quả, khử đc mùi khó chịu đó tốt.
Phiên bản này dễ cưng quá trời, mình fan Hello Kitty từ đó giờ...",,2,1,0,5.67212e-07
1,l*****1,5,2022-05-03 21:29,,"Mùi hương: Dễ chịu
Sản phẩm hạn chế các vết ố vàng trên áo, vùng cánh tay cũng giảm tiết mồ hôi, nhận hàng đầy đủ, sẽ ủng hộ tiếp ạ",,3,1,1,0.99999475
2,c*****2,5,2022-07-12 11:15,,"- shop đóng gói cẩn thận , giao hàng khá nhanh

- thiết kế nhỏ gọn , dễ mang theo

- khử mùi tốt , hương khá tự nhiên , không bị gắt quá

Nên mua","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,1,1,0.8471976
3,l*****g,5,2022-07-19 12:30,,"Đóng gói sản phẩm rất đẹp và chắc chắn
Chất lượn sản phẩm tuyệt zời","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.99961436
4,b*****a,5,2022-07-20 11:58,,"Công dụng: khử mùi náck
Mùi hương: trà xanh
Phù hợp với loại da: dưới cánh tay ( náck )
Lọ này lọ thứ 3, mùi kh hắc như cái khác","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,1,1,0.9999033
5,baongoc2o8,5,2022-05-19 20:17,,Mùi cũng thơm lắm ạ giao hàng nhanh hàng giao đến kh bị móp méo hài lòng 😊😊😊,,0,1,0,0.00011260791
6,dung_nguyen2020,5,2022-05-05 09:34,,"Mình dùng loại này lâu rồi, mùi trà xanh dễ chịu, không hiểu sao mình chỉ xài refre là k thấy ngứa ngáy khó chịu, nên cá nhân mình thích mỗi e này. Toàn canh sale mua 1 lố luôn, kaka",,0,2,0,0.00012341846
7,taetae711,5,2022-11-23 02:24,,"Công dụng: khử mùi
Mùi hương: trà xanh
Phù hợp với loại da: mọi loại da
Hình và vid k liên quan. Mua lần 2, mùi mạnh hơn các phiên bản hương khác, thơm mùi trà xanh thích lắm. Mình có mua loại hương nước hoa nhưng xịt thì gần như k có mùi","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.00022810831
8,ngoccamtran1994,5,2022-11-17 08:27,,"Công dụng: khu mui
Mùi hương: tra xanh
Phù hợp với loại da: tất cả
Thơm lắm ạ , khử mùi tốt , thoáng .sẽ tiếp tục ủng hộ ạ","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,1,0.9791854
9,n*****1,5,2022-09-07 11:14,,"Công dụng: khu mui hoi
Mùi hương: thơm, giữ mùi lâu
Mùi khá thơm, đóng gói chắc chắnn","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,2,0,0.008918571
10,n*****1,5,2022-09-10 00:44,,"Dùng này từ hồi cấp 3 đến giờ vẫn trung thành
Giao hàng nhanh
Đóng gói kĩ","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,2,0,2.0481625e-09
